Field Name,Data Element,Prompt
lesion 1 location generally,lesion_1_location,"If there is at least one lesion mentioned in the report, tell me what is the location of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_location”. If you cannot find the data, return ""NA"" int he field. format the field as a character. do not include units with values and make all letters lowercase."
lesion 1 volume,lesion_1_volume,"If there is at least one lesion mentioned in the report, tell me what is the volume of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_volume”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 1 dimensions,lesion_1_dimensions,"If there is at least one lesion mentioned in the report, tell me what are the dimensions of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_dimensions”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion T2 Score,lesion_1_t2_score,"If there is at least one lesion mentioned in the report, tell me what is the T2 score of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_t2_score”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion diffusion weighted index score,lesion_1_dwi_score,"If there is at least one lesion mentioned in the report, tell me what is the diffusion-weighted index (DWI) score of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_dwi_score”. If you cannot find the data, return “NA” in the field. format the field as type character. Do not include units with values, and make all letters lowercase."
lesion direct capsular extension,lesion_1_dce,"If there is at least one lesion mentioned in the report, tell me whether there is direct capsular extension (DCE) of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_dce”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion PiRADs Score,lesion_1_pirads_score,"If there is at least one lesion mentioned in the report, tell me what is PI-RADS score of the first lesion in the report. Return your answer as a JSON with the field name “lesion_1_pirads_score”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 2 location generally,lesion_2_location,"If there are at least two lesions mentioned in the report, tell me what is the location of the second lesion mentioned in the report. Return your answer as a JSON with the field name “lesion_2_location”. If you cannot find the data, return ""NA"" in the field. format the field as a character. do not include units with values and make all letters lowercase."
lesion 2 volume,lesion_2_volume,"If there are at least two lesions mentioned in the report, tell me what is the volume of the second lesion in the report. Return your answer as a JSON with the field name “lesion_2_volume”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 2 dimensions,lesion_2_dimensions,"If there are at least two lesions mentioned in the report, tell me what are the dimensions of the second lesion in the report. Return your answer as a JSON with the field name “lesion_2_dimensions”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 2 T2 Score,lesion_2_t2_score,"If there are at least two lesions mentioned in the report, tell me what is the T2 score of the second lesion in the report. Return your answer as a JSON with the field name “lesion_2_t2_score”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 2 diffusion weighted index score,lesion_2_dwi_score,"If there are at least two lesions mentioned in the report, tell me what is the diffusion-weighted index (DWI) score of the second lesion in the report. Return your answer as a JSON with the field name “lesion_2_dwi_score”. If you cannot find the data, return “NA” in the field. format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 2 direct capsular extension,lesion_2_dce,"If there are at least two lesions mentioned in the report, tell me whether there is direct capsular extension (DCE) of the second lesion in the report. Return your answer as a JSON with the field name “lesion_2_dce”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 2 PiRADs Score,lesion_2_pirads_score,"If there are at least two lesions mentioned in the report, tell me what is PI-RADS score of the second lesion in the report. Return your answer as a JSON with the field name “lesion_2_pirads_score”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 3 location generally,lesion_3_location,"If there are at least three lesions mentioned in the report, tell me what is the location of the third lesion mentioned in the report. Return your answer as a JSON with the field name “lesion_3_location”. If you cannot find the data, return ""NA"" in the field. format the field as a character. do not include units with values and make all letters lowercase."
lesion 3 volume,lesion_3_volume,"If there are at least three lesions mentioned in the report, tell me what is the volume of the third lesion in the report. Return your answer as a JSON with the field name “lesion_3_volume”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 3 dimensions,lesion_3_dimensions,"If there are at least three lesions mentioned in the report, tell me what are the dimensions of the third lesion in the report. Return your answer as a JSON with the field name “lesion_3_dimensions”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 3 T2 Score,lesion_3_t2_score,"If there are at least three lesions mentioned in the report, tell me what is the T3 score of the third lesion in the report. Return your answer as a JSON with the field name “lesion_3_t2_score”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 3 diffusion weighted index score,lesion_3_dwi_score,"If there are at least three lesions mentioned in the report, tell me what is the diffusion-weighted index (DWI) score of the third lesion in the report. Return your answer as a JSON with the field name “lesion_3_dwi_score”. If you cannot find the data, return “NA” in the field. format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 3 direct capsular extension,lesion_3_dce,"If there are at least three lesions mentioned in the report, tell me whether there is direct capsular extension (DCE) of the third lesion in the report. Return your answer as a JSON with the field name “lesion_3_dce”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion 3 PiRADs Score,lesion_3_pirads_score,"If there are at least three lesions mentioned in the report, tell me what is PI-RADS score of the third lesion in the report. Return your answer as a JSON with the field name “lesion_3_pirads_score”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
